상세품목, ,  ,   ,    ,     ,      ,        
쌀, 현미, 찹쌀, 보리쌀, 콩, 땅콩, 혼식곡, 밀가루
국수, 라면, 당면, 두부, 시리얼, 부침가루, 케이크, 빵
떡, 파스타면, 국산쇠고기, 수입쇠고기, 돼지고기, 닭고기, 소시지, 햄및베이컨
기타육류가공품, 갈치, 명태, 조기, 고등어, 오징어, 게, 굴
조개, 전복, 새우, 마른멸치, 마른오징어, 낙지, 오징어채, 북어채
어묵, 맛살, 수산물통조림, 젓갈, 우유, 분유, 치즈, 발효유
달걀, 참기름, 식용유, 사과, 배, 복숭아, 포도, 밤
감, 귤, 오렌지, 참외, 수박, 딸기, 바나나, 키위
블루베리, 망고, 체리, 아보카도, 파인애플, 아몬드, 과일가공품, 배추
상추, 시금치, 양배추, 미나리, 깻잎, 부추, 무, 열무
당근, 감자, 고구마, 도라지, 콩나물, 버섯, 오이, 풋고추
호박, 가지, 토마토, 파, 양파, 마늘, 브로콜리, 고사리
파프리카, 단무지, 김, 맛김, 미역, 초콜릿, 사탕, 껌
아이스크림, 비스킷, 스낵과자, 파이, 설탕, 잼, 꿀, 물엿
고춧가루, 참깨, 생강, 소금, 간장, 된장, 양념소스, 고추장
카레, 식초, 드레싱, 혼합조미료, 스프, 이유식, 김치, 밑반찬
냉동식품, 즉석식품, 편의점도시락, 삼각김밥, 커피, 차, 주스, 두유
생수, 기능성음료, 탄산음료, 기타음료, , , , 